Customer_ID,Age,Gender,Annual_Income,Spending_Score,City,Review_Text,Membership_Duration,Purchase_Frequency,Satisfaction_Rating,Income_to_Spending_Ratio,Age_Group,Is_High_Spender,Income_Category,Purchase_Intensity,Engagement_Score,Customer_Segment,City_Tier,Review_Length,Positive_Feedback,Avg_Spend_per_Visit,Loyalty_Index,Has_Long_Membership,Digital_Engagement,Churn(target)
23,23,,143745,3,Delhi,Not satisfied,9,17,4,35936.25,Youth,0,High,5.1,2.020006769,D,Tier 3,13,0,156.7033985,7.846556924,,0.375809469,1
25,57,Male,33731,61,Delhi,,8,19,4,544.0483871,Middle-Aged,0,Low,115.9,5.172438901,A,Tier 3,9,0,3235.713636,3.558497929,1,0.198930122,0
27,34,Other,92635,54,Chennai,Not satisfied,5,13,1,1684.272727,Adult,0,Medium,70.2,3.116844938,D,Tier 2,13,1,5343.994686,9.24061403,0,0.984744663,0
28,38,Male,28177,70,Delhi,Excellent,9,17,3,396.8591549,Adult,0,Low,119,9.660418135,C,Tier 2,9,1,1055.410548,6.149895342,1,0.416409188,0
29,53,Male,71660,58,Mumbai,,1,13,4,1214.576271,Middle-Aged,0,,75.4,,A,Tier 1,13,1,2779.301876,7.444299114,0,0.872912514,0
32,64,,68270,88,Delhi,Excellent,2,8,5,767.0786517,Senior,1,,70.4,6.046165737,,Tier 1,9,0,,8.52597224,0,0.172505557,1
34,66,Other,41395,14,Chennai,Could be better,5,,4,2759.666667,Senior,0,Low,14,4.178688407,C,Tier 1,15,,308.685126,1.372881215,0,0.799320948,1
35,23,Other,40711,75,Chennai,Not satisfied,9,17,2,535.6710526,Youth,1,Low,127.5,6.291885804,D,,,1,7382.669838,9.68732048,1,0.044966508,0
36,59,Male,151225,77,Kolkata,Could be better,5,19,5,1938.782051,Middle-Aged,1,Very High,146.3,5.14017791,,Tier 3,15,1,3119.755697,6.028538885,0,,0
37,59,,106450,28,Chennai,Average quality,4,11,4,3670.689655,,0,High,30.8,1.543876094,A,Tier 3,15,0,641.073448,4.218352995,0,0.339606414,1
38,64,Female,186405,95,Kolkata,Loved it,1,16,5,1941.71875,Senior,1,,152,4.869026742,D,Tier 1,8,0,4698.809749,1.318412937,0,0.212321534,0
39,,,22637,81,,Excellent,1,10,4,276.0609756,Middle-Aged,1,,81,4.023599867,A,Tier 1,,0,7978.414447,8.35341629,0,0.501182847,1
40,52,Female,166429,,,Good product,1,15,1,27738.16667,,0,Very High,7.5,3.04318743,C,Tier 3,12,1,161.1450479,3.103619786,0,0.27654835,0
41,45,Male,28802,55,,Not satisfied,1,15,,514.3214286,Middle-Aged,0,Low,82.5,2.339984824,,Tier 3,13,1,3908.600873,2.33409477,0,0.617728333,0
42,46,Female,106673,,Bangalore,,9,8,2,2318.978261,Middle-Aged,0,High,36,6.511148578,A,Tier 2,12,0,4229.869245,,,0.881128396,0
43,52,Other,,52,Delhi,,2,15,1,738.7924528,Middle-Aged,0,Low,78,7.314907319,,Tier 2,13,1,2898.482244,,,,0
47,,Male,31549,79,Mumbai,Not satisfied,8,12,5,,Senior,1,Low,94.8,6.841857463,B,Tier 2,13,1,1637.57536,4.709750041,1,0.889443973,1
48,,Other,125723,79,,Excellent,4,9,3,1571.5375,Middle-Aged,1,High,71.1,2.745821909,D,Tier 1,9,0,5154.110599,8.741316806,0,,0
51,57,Female,170882,15,Chennai,Could be better,2,16,2,10680.125,Middle-Aged,0,Very High,24,2.217696738,B,Tier 2,15,0,291.9061657,6.260475376,,0.021352913,0
53,59,Male,70901,37,Delhi,Average quality,4,5,4,1865.815789,Middle-Aged,,Medium,18.5,,D,Tier 3,15,1,,7.324559048,0,0.897396672,0
54,,Male,25269,70,Mumbai,Not satisfied,7,4,,355.9014085,,0,Low,28,4.194309439,D,Tier 2,13,,5849.909815,3.013876184,,0.854525644,1
55,28,Other,188455,31,Chennai,Very bad,6,9,4,5889.21875,,0,Very High,27.9,1.229314902,A,Tier 3,8,0,2673.730984,2.045834767,1,0.008369475,0
56,23,Other,103021,,Chennai,,8,10,5,1062.072165,Youth,1,High,96,4.269263024,,,13,1,9318.124596,5.862819409,1,0.513921853,0
58,24,Female,193364,15,Delhi,Good product,,3,,12085.25,,0,Very High,4.5,9.582994514,A,Tier 2,12,1,622.9091245,5.793509932,1,,1
59,66,Female,,64,Kolkata,Very bad,6,8,2,1450.076923,Senior,0,Medium,,5.113138323,A,Tier 1,8,1,1400.986112,9.137982296,1,0.194325652,0
61,32,Female,146683,70,Delhi,Very bad,4,15,1,2065.957746,Adult,0,High,105,9.688995882,C,Tier 2,8,0,6078.490419,1.88313448,0,0.344495017,0
62,46,Male,134826,,Kolkata,Excellent,7,17,1,10371.23077,Middle-Aged,,High,20.4,3.981685064,C,Tier 1,9,0,1076.008107,5.808829778,1,0.821809053,0
63,38,Female,49992,,Kolkata,Could be better,3,3,1,2631.157895,Adult,0,Low,5.4,1.14469431,C,Tier 3,15,0,391.2542937,4.002410612,0,0.655599769,1
65,64,,20463,83,,,3,17,2,243.6071429,Senior,1,Low,141.1,6.410780249,D,Tier 3,15,1,7044.873036,9.808454234,0,0.401116206,0
67,66,Female,136712,41,Delhi,Average quality,2,8,5,3255.047619,Senior,0,High,32.8,5.763145029,B,Tier 1,15,1,3862.827274,9.709949457,0,0.903257741,0
69,47,Other,140507,39,,Excellent,9,12,2,3512.675,Middle-Aged,0,,46.8,,C,Tier 3,9,0,2074.168837,8.188782605,1,,0
72,39,Male,119083,62,,Could be better,8,2,3,1890.206349,Adult,0,High,12.4,8.257521704,B,Tier 3,15,0,,1.123982074,1,0.415696424,0
73,,Other,101199,38,Bangalore,Loved it,3,16,2,2594.846154,,0,,60.8,,B,Tier 3,8,0,1833.74195,7.396005759,0,,0
75,23,Male,93606,66,Chennai,Loved it,6,12,4,1397.104478,Youth,0,Medium,79.2,5.887746002,A,Tier 2,8,1,4809.258441,3.581403184,1,0.29532852,0
76,34,Male,,49,Delhi,Excellent,1,19,1,2136.14,Adult,0,High,93.1,5.177276183,B,Tier 1,9,1,3759.722703,8.861078202,0,0.829819561,0
78,22,Male,181183,,Mumbai,,5,11,,2293.455696,Youth,1,Very High,85.8,,B,Tier 3,8,1,2470.095992,6.180613755,,0.524761954,1
79,36,Other,156213,26,Bangalore,Not satisfied,4,19,4,5785.666667,Adult,0,Very High,49.4,,D,Tier 1,13,1,2566.497992,8.594552322,0,0.170755434,0
80,42,Female,94499,95,Kolkata,Very bad,3,15,4,984.3645833,Middle-Aged,,,142.5,3.784301804,D,Tier 1,8,1,3645.036886,4.268744134,0,0.282204161,0
81,41,,150193,53,Delhi,Loved it,6,19,4,2781.351852,Middle-Aged,0,Very High,100.7,5.1074694,C,Tier 1,8,,1010.770068,7.587155132,1,0.665896817,0
82,51,Male,126170,21,Kolkata,Very bad,5,13,5,,Middle-Aged,,High,,7.439999462,B,Tier 3,,1,732.3837983,8.396649374,0,0.801524629,0
83,41,Male,69597,94,Chennai,Good product,8,6,3,732.6,Middle-Aged,1,Medium,56.4,6.391912201,D,Tier 3,12,,8423.135979,1.366213934,1,0.821359767,0
84,23,Female,124823,80,Bangalore,Good product,8,7,4,1541.024691,Youth,1,High,56,3.115874037,,Tier 1,12,0,,3.626784851,1,0.340209121,1
86,38,Male,43147,26,Delhi,,6,4,3,1598.037037,Adult,0,Low,10.4,5.382768264,B,Tier 3,15,0,2387.467859,8.953299321,1,0.390666185,0
87,20,Other,174912,41,Mumbai,Good product,3,10,3,4164.571429,Youth,0,Very High,41,9.639417284,,,12,1,1233.069093,2.702129348,0,,1
88,33,Male,20066,64,,Good product,6,15,1,308.7076923,Adult,0,Low,96,7.68950433,A,Tier 3,12,1,5400.314642,9.76387105,1,0.394782066,0
89,53,Female,64377,76,Kolkata,Very bad,1,,1,836.0649351,Middle-Aged,1,Medium,,3.807449939,A,Tier 3,8,0,1357.679628,8.778125529,0,0.516518687,1
90,19,Female,133783,93,Delhi,Could be better,1,19,3,1423.223404,Youth,1,High,176.7,1.424253774,D,Tier 2,15,0,8404.534994,1.767057944,0,0.535507755,1
91,57,Other,,62,Mumbai,Average quality,4,18,2,1647.428571,Middle-Aged,0,High,,,B,Tier 2,15,1,4765.402104,8.767432391,0,0.823458076,0
92,58,Male,76240,8,Bangalore,Could be better,7,6,3,8471.111111,Middle-Aged,0,Medium,4.8,3.311372492,D,Tier 1,15,0,603.9246913,7.847576672,,0.025097355,0
93,44,Other,55362,71,Mumbai,Excellent,,18,3,768.9166667,Middle-Aged,1,Medium,127.8,4.681062086,D,,9,0,1310.135751,4.325971786,0,0.113341185,1
94,38,Other,170396,59,Kolkata,Could be better,8,12,5,2839.933333,Adult,0,Very High,,6.406422793,B,Tier 1,15,1,,8.882783943,1,0.717017401,0
95,64,Other,53461,24,Kolkata,Very bad,3,18,1,2138.44,Senior,0,Medium,43.2,7.949345644,B,Tier 2,,1,633.4616279,2.356619351,0,0.391768366,0
96,67,Other,103981,81,Bangalore,Excellent,6,17,5,,Senior,1,High,137.7,,C,Tier 1,9,1,5571.006059,6.900859272,1,0.68093838,0
98,68,Other,46128,41,Kolkata,Excellent,7,1,2,1098.285714,Senior,0,Low,4.1,6.164972806,C,Tier 1,9,1,3854.39356,4.249198572,1,0.896227635,1
99,61,Male,139501,63,Chennai,Could be better,8,5,,2179.703125,Senior,0,High,31.5,2.531332434,A,Tier 1,15,1,2737.631409,4.718210692,1,0.982609907,0
102,35,Male,186393,72,Chennai,Not satisfied,6,7,4,,Adult,1,Very High,50.4,3.884530543,A,Tier 2,13,0,5658.041931,5.098605914,1,0.303977909,0
103,62,,138313,24,Kolkata,Could be better,2,8,3,5532.52,Senior,0,High,19.2,,B,Tier 3,15,1,753.4709362,5.640679498,0,0.656547677,0
104,59,Other,75830,57,Bangalore,Excellent,8,1,1,1307.413793,Middle-Aged,0,Medium,5.7,3.048058273,A,Tier 3,9,0,5580.217351,,1,0.786862724,0
105,21,Other,43956,,Mumbai,Loved it,5,18,3,676.2461538,Youth,0,Low,115.2,6.040946347,A,Tier 3,8,0,2141.583317,2.642191073,0,0.880110165,1
106,18,Male,40842,98,Mumbai,Excellent,9,16,2,412.5454545,Youth,1,,156.8,9.308533922,D,Tier 3,9,1,6348.083078,7.929753814,1,0.880180185,1
107,24,Male,117064,98,Delhi,Not satisfied,5,10,4,1182.464646,Youth,1,High,98,,A,Tier 3,13,1,,1.669299176,0,0.279104796,0
107,24,Male,117064,98,Delhi,Not satisfied,5,10,4,1182.464646,Youth,1,High,98,,A,Tier 3,13,1,,1.669299176,0,0.279104796,0
108,34,Male,36939,64,Delhi,Good product,6,19,4,568.2923077,Adult,0,Low,121.6,6.272939911,A,Tier 3,12,,4335.872303,1.71729931,1,0.654211539,0
109,57,Female,,37,Delhi,Could be better,2,3,,1522.631579,Middle-Aged,0,,11.1,1.257302889,D,Tier 3,15,0,2566.381226,2.880286099,0,0.947986219,1
111,,Other,62863,9,Delhi,Very bad,,3,4,6286.3,Adult,0,Medium,2.7,4.660664985,A,Tier 1,8,1,838.5660252,,0,0.6036131,0
113,41,Other,62818,89,Mumbai,Loved it,8,8,1,697.9777778,Middle-Aged,1,Medium,71.2,9.082610715,D,Tier 1,8,1,2919.957976,2.388597534,1,0.684451104,1
114,32,Female,174169,51,Delhi,Good product,7,2,1,3349.403846,Adult,0,Very High,10.2,4.908663839,B,Tier 1,12,1,3797.18305,7.006407756,1,0.575383366,0
115,56,Male,44503,,Chennai,Excellent,5,19,5,780.754386,Middle-Aged,0,,106.4,6.010009177,D,Tier 3,9,0,5189.610339,2.875081279,0,0.38327084,1
116,44,Male,33334,29,Bangalore,Average quality,4,5,3,1111.133333,Middle-Aged,0,Low,14.5,,B,Tier 2,15,0,870.4159243,6.961137761,0,0.884397276,0
117,47,Other,111647,21,Mumbai,Could be better,,17,2,5074.863636,,,High,35.7,1.849475804,D,Tier 2,15,0,1856.862682,1.251303375,0,0.8646027,0
118,37,Male,21407,27,Kolkata,Not satisfied,1,3,5,764.5357143,Adult,0,,8.1,8.845380198,D,Tier 3,13,0,477.1556654,4.095217803,0,0.049144544,1
120,59,Male,198966,51,Chennai,Excellent,6,19,1,3826.269231,Middle-Aged,0,Very High,96.9,2.898249005,,Tier 1,9,0,529.6228222,2.809287373,1,0.523896232,0
122,37,Male,125219,42,Delhi,Excellent,1,10,1,2912.069767,Adult,0,High,42,2.560249112,B,Tier 2,9,1,2610.515449,1.377591142,0,0.08863757,0
123,25,Female,49511,48,Mumbai,Loved it,6,19,1,1010.428571,Youth,0,Low,91.2,2.753236718,A,Tier 2,8,1,1993.474857,7.994437266,1,0.17160835,1
126,45,Other,148364,79,Mumbai,Not satisfied,6,11,1,1854.55,Middle-Aged,1,High,86.9,4.089247217,C,Tier 3,13,1,7267.188828,4.716699335,1,0.846119699,1
127,,Male,83884,,Mumbai,Very bad,5,,2,1103.736842,Senior,1,Medium,142.5,1.463640339,B,Tier 2,8,1,5032.750097,3.614363963,0,0.311326277,0
128,,,59895,53,Chennai,,1,4,2,1109.166667,Middle-Aged,0,Medium,21.2,1.983395002,B,Tier 2,15,0,1342.115791,7.107614711,0,0.036411728,0
130,29,Female,116261,81,Bangalore,Very bad,6,5,4,1417.817073,Adult,1,High,40.5,6.405657989,C,Tier 2,8,1,4524.469666,3.912734577,1,0.762221627,1
131,20,Female,79658,80,Mumbai,Could be better,7,,5,983.4320988,Youth,,Medium,104,2.831455905,C,Tier 1,15,1,4619.865659,2.350200249,1,0.195208092,0
132,52,Female,,36,Chennai,Very bad,8,18,3,,Middle-Aged,0,Low,64.8,2.260612049,D,Tier 1,8,0,2626.607869,,1,,0
133,53,Other,168178,78,Delhi,Very bad,7,16,2,2128.835443,Middle-Aged,1,Very High,124.8,1.00257827,,Tier 2,8,1,6716.862183,,1,0.171229194,0
134,63,Male,135260,71,Bangalore,Good product,6,19,4,1878.611111,Senior,1,High,134.9,3.999985598,B,Tier 3,12,1,6273.773709,4.329156088,1,0.091369311,0
134,63,Male,135260,71,Bangalore,Good product,6,19,4,1878.611111,Senior,1,High,134.9,3.999985598,B,Tier 3,12,1,6273.773709,4.329156088,1,0.091369311,0
135,54,Male,54159,7,Delhi,Very bad,2,5,5,6769.875,Middle-Aged,0,Medium,3.5,4.300448506,A,Tier 3,8,0,392.7680608,4.298629183,0,0.838806335,1
137,24,Male,116516,81,Mumbai,,2,4,4,1420.926829,Youth,1,High,32.4,3.243860259,D,Tier 3,9,0,6602.154337,8.480759107,0,0.590516298,0
138,63,Female,,54,Delhi,Average quality,1,5,5,522.1818182,Senior,0,Low,27,2.791920614,B,Tier 3,15,,4013.817996,,0,0.818709713,0
139,55,Other,77241,70,Chennai,Excellent,4,3,3,1087.901408,Middle-Aged,0,Medium,21,,D,Tier 2,9,1,1165.867955,6.058190641,0,0.572330614,0
140,37,Male,107876,81,Mumbai,Not satisfied,6,2,3,,Adult,1,High,16.2,5.134106828,D,Tier 3,13,1,4570.370071,3.047962848,1,0.555998725,0
141,64,Other,79902,42,Kolkata,Not satisfied,2,12,5,1858.186047,Senior,0,Medium,50.4,,A,Tier 2,13,,537.8636664,1.745281261,0,0.534674708,1
143,,Female,159471,15,Kolkata,Excellent,5,18,4,9966.9375,Middle-Aged,0,Very High,27,9.758182495,D,Tier 3,9,0,331.2132736,2.060974597,0,0.454219207,1
144,23,Male,179132,87,Chennai,Average quality,5,6,1,2035.590909,Youth,1,Very High,52.2,1.854797572,D,Tier 2,15,1,6661.153248,4.875075144,0,0.136793135,0
145,31,Other,119468,18,Kolkata,Loved it,8,15,3,6287.789474,Adult,0,,27,6.896228295,D,Tier 1,8,1,721.0092973,7.322994883,1,0.920530149,0
146,52,Male,113944,24,Chennai,Good product,8,16,3,4557.76,Middle-Aged,0,High,38.4,3.816174998,D,Tier 3,12,1,2024.822315,1.642962705,1,0.123301122,0
147,23,Female,185750,65,Chennai,Not satisfied,3,12,2,2814.393939,Youth,0,Very High,78,1.466209301,C,Tier 2,13,1,2105.664601,2.728782841,0,0.842327607,0
148,62,Male,48036,4,Kolkata,Good product,4,14,5,,Senior,0,Low,5.6,1.290642851,,Tier 3,12,0,200.2274111,1.243545886,,0.215227886,0
149,52,,157866,27,,Not satisfied,4,3,1,5638.071429,Middle-Aged,0,Very High,8.1,6.197814324,D,,13,,2271.898424,3.804163045,0,0.136779255,0
150,23,Female,53980,41,Delhi,Good product,7,6,4,,Youth,0,Medium,24.6,5.66320522,A,Tier 3,12,0,1356.347702,7.483962825,1,,0
151,21,Female,133428,36,Delhi,Good product,4,6,3,3606.162162,Youth,0,High,,6.109850101,B,Tier 1,12,1,1517.682681,6.659641406,0,0.005622886,0
152,28,Other,44700,31,Mumbai,Excellent,7,15,3,1396.875,Adult,0,Low,46.5,6.929985392,C,Tier 1,9,0,1455.819999,4.365415236,1,0.157404082,0
153,59,Male,69699,84,Mumbai,,2,18,,819.9882353,Middle-Aged,1,Medium,151.2,4.453540835,B,Tier 1,13,1,4990.800593,7.708152595,0,0.083523705,0
154,63,Male,20534,42,Mumbai,Not satisfied,6,7,,477.5348837,Senior,,Low,29.4,7.245452152,A,Tier 3,13,0,1972.685803,6.885138135,1,0.722628501,1
155,20,Other,151567,69,Mumbai,Not satisfied,5,6,1,2165.242857,Youth,0,Very High,41.4,6.92062515,B,Tier 2,13,0,3474.254165,1.292766891,0,0.093053303,1
156,,Female,197274,67,Mumbai,Excellent,6,17,1,2901.088235,Senior,,,113.9,5.527452332,B,Tier 2,9,0,3740.454009,6.720480969,1,0.332690681,0
157,24,Female,181564,31,Kolkata,Good product,7,16,,5673.875,Youth,0,Very High,49.6,3.527326281,B,Tier 2,12,1,2322.958851,,1,0.992276659,0
158,56,Other,158454,,Chennai,Very bad,5,14,2,2640.9,Middle-Aged,0,Very High,82.6,8.387486113,C,Tier 1,8,0,1810.734435,,,0.615569582,0
160,26,Female,43004,,Mumbai,Very bad,5,3,3,,Adult,0,Low,,8.24933524,,Tier 2,,1,3877.73767,2.411670627,0,,1
161,41,Male,28997,1,Delhi,Could be better,4,,4,14498.5,Middle-Aged,0,Low,1.5,,C,Tier 1,15,1,74.96288163,7.717248174,0,0.694203889,1
162,40,Other,166583,30,Chennai,Not satisfied,4,,2,5373.645161,Adult,0,Very High,36,9.25566037,B,Tier 3,13,1,2685.73011,5.70909474,0,0.633638735,0
165,55,Female,96870,79,Delhi,Could be better,3,10,3,1210.875,Middle-Aged,1,Medium,79,5.391821396,D,Tier 1,15,0,4841.967949,,0,0.322498241,1
166,53,Male,73144,44,Chennai,Loved it,4,12,1,1625.422222,Middle-Aged,0,Medium,52.8,4.561043429,B,Tier 3,8,1,3237.378215,6.176524076,0,0.257552438,0
167,41,,190939,20,Chennai,Very bad,9,12,2,9092.333333,Middle-Aged,0,Very High,24,8.033001435,D,Tier 2,8,1,621.5317326,4.651395298,1,0.378255912,0
168,20,Female,36984,60,,,,17,3,606.295082,Youth,0,Low,102,3.610877021,A,,12,1,5204.70624,6.482654161,0,0.662747689,1
170,42,Male,138422,73,Mumbai,Average quality,3,5,,1870.567568,Middle-Aged,1,High,36.5,7.991761176,C,Tier 3,15,0,6887.808776,4.360962352,0,0.15686633,1
172,41,Other,198735,47,Kolkata,Average quality,4,3,3,4140.3125,Middle-Aged,0,,14.1,2.240903973,,Tier 3,15,1,1508.817648,5.782218576,0,,0
173,67,Male,,8,Delhi,Could be better,7,,2,11384.88889,Senior,0,High,12.8,9.023669345,D,,15,1,389.6084968,,1,0.516159647,0
177,51,Other,114948,67,Bangalore,Could be better,5,11,,1690.411765,Middle-Aged,0,High,73.7,6.285878292,A,Tier 2,15,1,3525.349509,6.701400567,0,0.176634519,1
181,56,Female,24136,2,Mumbai,Could be better,8,16,1,8045.333333,Middle-Aged,0,Low,3.2,5.963792404,A,Tier 2,15,1,182.5361352,7.45633804,1,0.021688857,0
182,47,Other,38174,,Delhi,Average quality,4,17,3,720.2641509,Middle-Aged,0,Low,88.4,7.505612878,C,Tier 1,15,0,3867.362634,2.100821357,0,0.398532492,0
183,25,Female,162001,26,Mumbai,Very bad,8,16,2,6000.037037,Youth,0,Very High,41.6,,A,Tier 1,8,0,476.7420312,8.160080153,1,0.578680005,0
184,61,Female,188733,20,Mumbai,,3,7,5,8987.285714,Senior,0,Very High,14,6.758079659,D,Tier 1,8,1,1751.662905,9.444208181,0,0.035234909,0
187,,Male,142013,57,Chennai,,7,3,1,2448.5,Middle-Aged,0,High,17.1,5.466673825,,Tier 2,9,0,3503.704666,5.360836084,1,,0
188,22,Male,122272,85,Mumbai,Loved it,9,15,,1421.767442,Youth,1,High,127.5,7.814447474,A,Tier 3,8,1,3116.331241,5.882051432,1,0.944766266,0
190,49,Male,92833,54,Delhi,Excellent,2,17,3,1687.872727,Middle-Aged,0,Medium,91.8,2.643993952,C,Tier 2,9,0,4540.828062,,0,0.263035422,0
191,50,Other,139392,9,Kolkata,Good product,1,4,4,,Middle-Aged,0,High,3.6,5.811514069,D,Tier 3,12,0,844.2217064,3.473881487,0,0.805147373,1
192,21,Female,134919,31,Delhi,Not satisfied,7,4,3,4216.21875,Youth,0,High,12.4,,B,Tier 3,13,1,1918.229949,1.789617689,1,0.884137963,0
194,33,Other,93181,27,Delhi,Good product,9,2,1,3327.892857,Adult,0,Medium,5.4,1.469001957,C,Tier 2,12,1,,,1,0.111239204,0
196,34,Other,96000,7,Chennai,Could be better,5,6,4,12000,Adult,0,Medium,4.2,9.797097415,C,Tier 1,15,1,542.7714348,1.912991473,0,0.168631927,0
198,38,Other,176258,17,Kolkata,Average quality,1,8,3,,Adult,0,Very High,13.6,2.33764196,B,Tier 3,15,0,463.8361426,7.350279221,,0.047336789,0
199,28,Male,124301,33,Delhi,Average quality,8,9,4,,Adult,0,High,29.7,4.667737808,C,Tier 1,15,,2306.719604,4.479659809,1,0.675644636,0
201,,,31516,81,Chennai,,8,11,5,384.3414634,Senior,1,Low,89.1,5.068689136,D,Tier 2,12,1,7454.159094,6.022434171,1,0.187088231,0
202,59,Female,,17,Delhi,Good product,6,9,1,5339.222222,Middle-Aged,0,Medium,15.3,2.032208044,D,Tier 2,12,,806.7101978,7.075098965,1,0.689755762,0
203,28,Other,112691,94,Bangalore,Average quality,4,,2,1186.221053,Adult,1,,,4.659108174,B,Tier 3,,1,3401.771297,,0,0.659330987,0
205,39,Male,142066,43,Mumbai,Not satisfied,9,16,3,3228.772727,Adult,,,68.8,8.933817682,A,,13,,531.7417152,3.909628907,1,0.566147591,1
206,56,Male,74962,33,Mumbai,,9,5,3,2204.764706,Middle-Aged,0,Medium,16.5,6.534088093,D,,9,1,2852.378922,2.366249095,1,0.355937727,0
207,59,Male,178029,2,Kolkata,Could be better,3,12,1,59343,Middle-Aged,0,Very High,2.4,9.70839274,D,Tier 2,15,0,64.73892043,5.196233151,0,0.687556741,0
208,43,Female,121010,15,Mumbai,Excellent,2,10,3,7563.125,Middle-Aged,0,High,15,2.166207977,C,Tier 1,9,0,201.3921121,8.628694285,0,0.153120653,0
210,22,Male,85131,18,Kolkata,Average quality,9,18,3,4480.578947,Youth,0,Medium,32.4,2.044572856,A,Tier 1,,1,335.843504,5.938065311,1,0.140251942,0
214,,Other,87600,97,Kolkata,Could be better,5,18,2,893.877551,Middle-Aged,1,Medium,174.6,,A,Tier 3,15,0,5015.452725,2.304293971,0,0.966375348,0
215,40,Female,79025,95,Delhi,Excellent,9,16,3,823.1770833,Adult,1,Medium,152,2.399622796,C,Tier 3,9,1,4658.762584,3.475968315,1,0.705836774,0
216,45,Female,69434,22,Mumbai,,,3,4,3018.869565,Middle-Aged,0,Medium,6.6,4.220164259,A,Tier 1,9,1,779.6506006,3.058422446,0,0.350103568,0
